Logo URL,Company Name,Rating
https://example.com/logo1.png,TechGiant Inc.,9.8
https://example.com/logo2.png,InnovateCorp,9.5
https://example.com/logo3.png,FutureSoft Solutions,9.2
https://example.com/logo4.png,DataDrive Systems,8.9
https://example.com/logo5.png,CloudNine Technologies,8.7
https://example.com/logo6.png,SmartTech Innovations,8.5
https://example.com/logo7.png,Quantum Computing Ltd.,8.3
https://example.com/logo8.png,CyberShield Security,8.1
https://example.com/logo9.png,AI Dynamics,7.9
https://example.com/logo10.png,BlockChain Ventures,7.7
